id	book	page	q_no	substr_pct	band	action	image_url	ocr_text_len
7a7d9744-5a79-5c9c-b3ae-960f2d51117a	Aktif Ogrenme 0 Baslayanlara Kimya 2019 2020	134	21	0	error	error		0
8a050e1c-0006-577c-8138-0f4a2e7d3498	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	92	10	0.769	high	dry	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0092_q02.png	116
2afb6719-3c21-532d-b013-12cce541b23d	Aktif Ogrenme 2025 Tyt Fizik Soru Bankası	29	17	0.400	low	skip		189
9a515095-4c2c-5232-b6f3-1491315818e4	345 Tyt Ayt Geometri Soru Bankası	211	9	0.636	mid	dry	/static/crops/345_Tyt_Ayt_Geometri_Soru_Bankası/345_Tyt_Ayt_Geometri_Soru_Bankası_p0211_q03.png	98
f084cc34-c2e0-5430-8b4c-3cfeef07f522	Orijinal-2024-Geometri Soru Bankası	244	12	0.750	high	dry	/static/crops/Orijinal-2024-Geometri_Soru_Bankası/Orijinal-2024-Geometri_Soru_Bankası_p0244_q06.png	132
a7beba2b-341d-5ce2-a324-77c63bf3e1f1	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	202	7	0.929	high	dry	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0202_q01.png	234
d43e10a2-64a0-5250-acfc-b8a8d1250b88	345 2025 Tyt Ayt Geometri Soru Bankası 1	311	7	1.000	high	dry	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0311_q03.png	101
758189d8-2e1e-5be7-a856-4c32bb310f85	Orijinal2024-Ayt-Matematik Soru Bankası	109	7	0.692	mid	dry	/static/crops/Orijinal2024-Ayt-Matematik_Soru_Bankası/Orijinal2024-Ayt-Matematik_Soru_Bankası_p0109_q02.png	141
5e284289-e17b-5bc9-95f9-b06d4769924f	Full Matematik-2019-2020-Geometri Soru Bankası	99	9	0	error	error		0
e92c0eaf-87cb-51db-b5c0-d38e21ab85d0	Mikro Orijinal-2024-Tyt-Matematik Soru Bankası	213	1	0.120	low	skip		249
5f774db0-8fb4-50a3-828c-4e4629761c5b	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	16	7	0.600	mid	dry	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0016_q01.png	124
c8987444-7a06-5300-a293-574e6924eca8	Bilgi Sarmalı-Tyt Ayt-Geometri Soru Bankası	130	10	0.833	high	dry	/static/crops/Bilgi_Sarmalı-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-Tyt_Ayt-Geometri_Soru_Bankası_p0130_q05.png	118
17b42e4b-f4e4-5535-ba5e-cd3d7d3b9cd2	Mikro Orijinal-2024-Ayt-Matematik Soru Bankası	179	12	0.875	high	dry	/static/crops/Mikro_Orijinal-2024-Ayt-Matematik_Soru_Bankası/Mikro_Orijinal-2024-Ayt-Matematik_Soru_Bankası_p0179_q05.png	137
37612fbd-028b-5922-9ce3-2fb497ba5f8b	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	190	10	0	error	error		0
65d2736f-1084-5541-b0f5-a50fafe92d5b	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	299	8	1.000	high	dry	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0299_q03.png	139
657042fa-01a6-5f2f-9a9c-abbdf1375fe7	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	18	8	0.462	low	skip		102
e97419eb-897e-5ee5-b82b-96cab58026b3	Orijinal-Tyt Ayt Geometri Soru Bankası	69	10	0.667	mid	dry	/static/crops/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0069_q02.png	142
