id	book	page	q_no	substr_pct	band	action	image_url	ocr_text_len
e16c2941-a1d7-53a9-b213-094cd96286ab	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	81	9	0.833	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0081_q01.png	119
87d4cbd6-1b05-5297-a64f-f770a1141c0b	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	83	12	0.786	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0083_q05.png	113
694a0f56-7b3b-5af2-ba7a-b5e63278a388	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	95	10	0.857	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0095_q04.png	124
e38555f8-7964-5c5c-b268-6b2d7bc84de0	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	95	9	1.000	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0095_q01.png	132
fd54ffb2-4102-5d97-bff0-0c60b23a55e1	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	97	9	1.000	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0097_q01.png	112
c71085e5-f6d9-5a9c-a333-19e4c7f85945	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	123	7	0.909	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0123_q01.png	107
6dad3df8-5db8-59b2-a2a2-d113f4d27ce5	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	147	9	0.846	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0147_q02.png	124
0e308028-36d8-5ba6-97af-d8a7a934d438	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	147	13	0.778	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0147_q01.png	129
f5efced8-4cbf-573a-abd7-2cbbfceba238	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	149	9	0.727	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0149_q01.png	122
c6fd240f-8c52-5999-a435-5ace5a8d12a2	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	149	15	0	error	error		0
05cec5ec-1a60-55f1-b853-1abefc495ccb	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	154	3	0	error	error		0
40c536aa-21c5-5f92-83ef-57bd720b3810	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	168	9	1.000	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0168_q01.png	115
5fda7264-d808-52ac-a679-9a618344e4c4	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	170	9	0.923	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0170_q01.png	131
eb2be7f3-dca3-59de-ac0c-ef94210539b1	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	172	9	0.727	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0172_q01.png	106
a3877d1b-6b70-5a7c-a368-d286f60059b6	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	210	16	0.867	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0210_q08.png	127
42918295-4765-5c05-bd4c-5e992417bcf5	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	227	9	0.778	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0227_q01.png	111
cd746791-5cb8-587b-8339-e6c69cab49d4	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	241	9	1.000	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0241_q01.png	117
c92943a8-2f7c-5536-b0e2-71a9c92e2f61	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	243	12	1.000	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0243_q08.png	113
b23fbb9d-fe4d-5454-b638-3fcd39f7b899	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	243	9	1.000	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0243_q02.png	116
f7270ff6-f633-5b12-8539-4d31b35f5f81	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	257	9	0.778	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0257_q01.png	77
60c52392-7dc2-5f15-b21d-9300b4073a56	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	257	11	0.917	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0257_q06.png	105
ca688f43-356b-5d4e-9cd7-010c371f7b58	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	259	9	0.778	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0259_q01.png	76
acb9da7d-539b-56cf-84c2-06aee01e0cc0	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	265	9	1.000	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0265_q01.png	116
a92b3183-b912-511d-bf81-a65e1cf399e9	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	286	9	0.429	low	skip		81
e2e95abf-fb4f-529f-a3b2-73122233683c	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	286	12	0.750	high	apply	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0286_q08.png	76
1acce595-622f-54e3-b47d-c25ba871fd6c	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	42	8	0.700	high	apply	/static/crops/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2_p0042_q03.png	99
